Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,Descripción,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Analizar la especie  BDC28,3791.4,3374.0,-12.37
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Analizar la especie AL30 ,5210.3,3988.0,-30.65
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Analizar la especie MR43O,2006.3,1795.0,-11.77
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Analizar la especie TX28,3782.5,2587.0,-46.21
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie AL30,20053.0,12067.0,-66.18
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie BDC28,21193.3,26633.0,20.42
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie MR43O,12830.1,10763.0,-19.21
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie TX28,8905.3,7701.0,-15.64
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Ingresar al Home,16341.6,6376.0,-156.3
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie  AL30,2112.1,821.0,-157.26
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie BDC28,5081.1,861.0,-490.14
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie MR43O,3942.0,877.0,-349.49
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie TX28,4128.2,903.0,-357.17
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie AL30,21843.0,15493.0,-40.99
2026-08-27T15:17:38-03:00,AbbacoAR,Production,v1.45.0,v1.44.8,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie BDC28,7063.5,4235.0,-66.79
