Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Analizar,v1.44.1,18899.35
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Arbitraje,v1.44.1,12062.5
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Calculadora,v1.44.1,86829.55
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Comparar,v1.44.1,54581.65
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Curvas,v1.44.1,20983.8
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Graficador,v1.44.1,7267.75
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Mis portafolios,v1.44.1,8468.9
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Screener,v1.44.1,3430.7
2026-07-06T15:07:44-03:00,AbbacoAR,Production,Sensibilidad,v1.44.1,7553.45
