Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Analizar,14910.0,26467.4,43.67
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Arbitraje,13728.5,11336.1,-21.1
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Calculadora,95423.4,74553.6,-27.99
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Comparar,13694.0,12840.4,-6.65
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Curvas,37095.0,20502.8,-80.93
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Graficador,8222.8,7798.7,-5.44
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Mis portafolios,10408.6,9270.1,-12.28
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Screener,4258.8,3929.0,-8.39
2026-08-12T15:09:39-03:00,AbbacoAR,Production,v1.44.6,v1.44.5,Sensibilidad,8529.3,7770.75,-9.76
