Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Analizar,v1.44.6,14600.3
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Arbitraje,v1.44.6,14291.75
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Calculadora,v1.44.6,95992.5
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Comparar,v1.44.6,13751.55
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Curvas,v1.44.6,36428.4
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Graficador,v1.44.6,8303.5
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Mis portafolios,v1.44.6,10536.35
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Screener,v1.44.6,4218.3
2026-08-11T15:09:02-03:00,AbbacoAR,Production,Sensibilidad,v1.44.6,8584.1
