Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual,P50 (ms) actual,Stdev (ms) actual,N muestras,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Analizar,v1.44.6,14195.5,3871.5,6530.44,8,16472.05,13.82
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Arbitraje,v1.44.6,13248.45,10839.0,5241.72,8,12246.8,-8.18
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Calculadora,v1.44.6,96192.95,3050.0,35952.99,8,91810.2,-4.77
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Comparar,v1.44.6,12644.1,2771.0,4536.92,8,21445.9,41.04
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Curvas,v1.44.6,25549.5,1761.5,11363.33,8,32827.2,22.17
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Graficador,v1.44.6,8126.25,3749.0,2977.88,8,8411.8,3.39
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Mis portafolios,v1.44.6,10153.25,5429.0,3525.04,8,9074.85,-11.88
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Screener,v1.44.6,4301.1,3705.5,267.95,8,8070.2,46.7
2026-08-04T14:48:15-03:00,AbbacoAR,Production,Sensibilidad,v1.44.6,8727.25,751.5,3243.13,8,8459.25,-3.17
