Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Analizar,12947.0,14029.75,7.72
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Arbitraje,11504.5,9342.0,-23.15
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Calculadora,83778.55,63972.9,-30.96
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Comparar,11203.35,13143.85,14.76
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Curvas,22841.25,11775.55,-93.97
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Graficador,3830.25,3151.25,-21.55
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Mis portafolios,7743.3,6870.0,-12.71
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Screener,4164.05,3134.95,-32.83
2026-09-22T07:17:33-03:00,AbbacoAR,Production,v1.45.7,v1.45.6,Sensibilidad,8433.75,7179.25,-17.47
