Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Analizar la especie  BDC28,v1.45.7,1960.0,3374.0,41.91
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Analizar la especie AL30 ,v1.45.7,3962.0,5279.0,24.95
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Analizar la especie MR43O,v1.45.7,1543.0,2027.0,23.88
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Analizar la especie TX28,v1.45.7,1910.0,3485.0,45.19
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie AL30,v1.45.7,14616.0,19206.0,23.9
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie BDC28,v1.45.7,11079.0,24148.0,54.12
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie MR43O,v1.45.7,9477.0,13750.0,31.08
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie TX28,v1.45.7,6315.0,13670.0,53.8
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Ingresar al Home,v1.45.7,7285.0,17958.0,59.43
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie  AL30,v1.45.7,603.0,1895.0,68.18
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie BDC28,v1.45.7,658.0,12859.0,94.88
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie MR43O,v1.45.7,667.0,4845.0,86.23
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie TX28,v1.45.7,548.0,5099.0,89.25
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie AL30,v1.45.7,3546.0,18308.0,80.63
2026-09-21T13:44:03-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie BDC28,v1.45.7,4195.0,7365.0,43.04
