Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,13546.65,13286.65,-1.96
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Arbitraje,13840.75,10587.2,-30.73
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Calculadora,83634.55,77008.8,-8.6
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Comparar,12041.15,16187.4,25.61
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Curvas,45068.5,26873.4,-67.71
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Graficador,5851.0,8163.5,28.33
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Mis portafolios,8440.55,9232.0,8.57
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Screener,3572.85,3901.0,8.41
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Sensibilidad,8199.35,7183.25,-14.15
