Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,Descripción,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Analizar la especie  BDC28,2631.6,3797.0,30.69
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Analizar la especie AL30 ,5600.75,4996.0,-12.1
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Analizar la especie PECMO,2272.95,2438.0,6.77
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Analizar la especie TX28,2469.15,3147.0,21.54
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie AL30,16066.2,13300.0,-20.8
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie BDC28,12373.15,24606.0,49.71
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie PECMO,10218.8,13033.0,21.59
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie TX28,8094.75,8913.0,9.18
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Ingresar al Home,16068.15,8423.0,-90.77
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie  AL30,706.45,685.0,-3.13
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie BDC28,842.8,4421.0,80.94
2026-07-13T14:57:00-03:00,AbbacoAR,Production,v1.44.3,v1.44.2,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie PECMO,1005.2,1105.0,9.03
