Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Analizar,v1.44.3,13673.7
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Arbitraje,v1.44.3,9718.8
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Calculadora,v1.44.3,61815.6
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Comparar,v1.44.3,10685.0
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Curvas,v1.44.3,18066.6
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Graficador,v1.44.3,6212.3
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Mis portafolios,v1.44.3,7826.45
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Screener,v1.44.3,2791.0
2026-07-10T14:48:42-03:00,AbbacoAR,Production,Sensibilidad,v1.44.3,6493.55
