Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Analizar la especie  BDC28,v1.45.3,2770.7,3799.8,27.08
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Analizar la especie AL30 ,v1.45.3,4941.2,5287.4,6.55
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Analizar la especie MR43O,v1.45.3,1977.8,2215.25,10.72
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Analizar la especie TX28,v1.45.3,2632.6,8150.8,67.7
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie AL30,v1.45.3,18843.9,16984.8,-10.95
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie BDC28,v1.45.3,24573.5,24078.4,-2.06
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie MR43O,v1.45.3,14004.6,13285.25,-5.41
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie TX28,v1.45.3,13690.9,9974.4,-37.26
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Ingresar al Home,v1.45.3,18498.1,30552.8,39.46
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie  AL30,v1.45.3,1919.4,1924.6,0.27
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie BDC28,v1.45.3,14585.7,4347.0,-235.53
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie MR43O,v1.45.3,9736.5,1886.0,-416.25
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie TX28,v1.45.3,7253.5,10201.4,28.9
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie AL30,v1.45.3,8695.4,20535.0,57.66
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie BDC28,v1.45.3,8951.3,9097.2,1.6
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie MR43O,v1.45.3,5331.9,9819.25,45.7
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie TX28,v1.45.3,6441.8,9775.0,34.1
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie AL30,v1.45.3,3700.4,3275.2,-12.98
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie BDC28,v1.45.3,9554.4,14245.0,32.93
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie MR43O,v1.45.3,10015.1,12852.0,22.07
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie TX28,v1.45.3,2728.9,3157.8,13.58
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Analizar,Validaciones en la pestaña General de la especie MR43O,v1.45.3,1487.9,2067.25,28.03
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Arbitraje,Arbitraje de las especies AL30 y TX28,v1.45.3,16320.5,18206.8,10.36
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Arbitraje,Ingresar al menú Arbitraje,v1.45.3,1111.7,1643.6,32.36
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Arbitraje,"Navegabilidad entre las pestañas Paridad, Inversión y Scatter",v1.45.3,11987.4,19261.4,37.76
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Calculadora,"Editar P. Simulado, de la primera simulación",v1.45.3,3304.0,3110.8,-6.21
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Calculadora,Editar la TIR de la primera simulación,v1.45.3,1937.8,2207.8,12.23
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Calculadora,Eliminar todas las simulaciones,v1.45.3,2270.4,3316.2,31.54
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Calculadora,Ingresar al menú Calculadora,v1.45.3,4729.9,5010.6,5.6
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Calculadora,Simular inversiones de la especie AL30,v1.45.3,89644.1,96465.6,7.07
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Comparar,Eliminar las especies AL30 y TX28,v1.45.3,5600.3,4857.4,-15.29
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Comparar,Ingresar al menú Comparar,v1.45.3,1123.3,988.6,-13.63
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Comparar,Ir a Condiciones de Emisión,v1.45.3,1911.8,2420.2,21.01
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Comparar,Navegabilidad por pestañas gráficas,v1.45.3,13476.0,20153.4,33.13
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Comparar,Realizar comparativa entre las especies AL30 y TX28,v1.45.3,16671.9,19111.2,12.76
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingresar a la pestaña Internacionales,v1.45.3,483.8,528.0,8.37
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingresar al menú Curvas,v1.45.3,6265.1,5463.4,-14.67
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva BCRA - BOPREALs - USD,v1.45.3,1283.9,1433.4,10.43
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Brasil - Soberanos - Bonos Globales - USD,v1.45.3,32253.0,19035.8,-69.43
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Chile - Soberanos - Bonos Globales - USD,v1.45.3,34144.5,53283.2,35.92
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Colombia - Soberanos - Bonos Globales - USD,v1.45.3,41064.0,51477.8,20.23
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Corporativos - Alimentos - USD,v1.45.3,15485.7,21803.25,28.98
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Estados Unidos - Soberanos - Treasury Notes/Bonds - USD,v1.45.3,14612.1,21168.8,30.97
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Mexico - Soberanos - Bonos Globales - USD,v1.45.3,70985.5,66130.0,-7.34
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Paraguay - Soberanos - Bonos Globales - USD,v1.45.3,20362.7,32732.8,37.79
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Soberanos - Letras del Tesoro Capitalizables (LECAP) - ARS,v1.45.3,1276.0,1725.6,26.05
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Soberanos - Ley Argentina - USD,v1.45.3,1386.5,1490.2,6.96
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,Ingreso a la curva Soberanos - Tasa Fija + CER - ARS,v1.45.3,1490.9,2540.0,41.3
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,"Ingreso a la pestaña ""BCRA""",v1.45.3,232.0,243.2,4.61
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,"Ingreso a la pestaña ""Corporativos""",v1.45.3,279.2,274.0,-1.9
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,"Ingreso a la pestaña ""Soberanos""",v1.45.3,1901.5,4217.6,54.92
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Curvas,"Ingreso a la pestaña ""SubSoberanos""",v1.45.3,226.7,203.0,-11.67
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Graficador,Graficar la especie AL30,v1.45.3,5138.8,9201.4,44.15
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Graficador,Graficar todas las curvas,v1.45.3,1142.0,1158.4,1.42
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Graficador,Ingresar al menú Graficador,v1.45.3,4615.1,5426.4,14.95
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Agregar la cuarta especie al portafolio,v1.45.3,10720.2,12563.6,14.67
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Agregar la primera especie al portafolio,v1.45.3,9944.7,12156.8,18.2
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Agregar la segunda especie al portafolio,v1.45.3,10085.4,10818.4,6.78
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Agregar la tercera especie al portafolio,v1.45.3,9557.7,11382.8,16.03
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Crear un nuevo portafolio,v1.45.3,7849.8,10330.2,24.01
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Editar el portafolio,v1.45.3,3998.9,5019.8,20.34
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Eliminar el portafolio,v1.45.3,3407.5,10169.0,66.49
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Eliminar todas las especies del portafolio,v1.45.3,458.1,495.8,7.6
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Ingresar al menú Mis portafolios,v1.45.3,1018.0,1066.6,4.56
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Mis portafolios,Navegabilidad entre las pestañas Proyección y Agenda de pagos en el portafolio,v1.45.3,3715.5,13725.6,72.93
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Screener,Ingresar al menú Screener,v1.45.3,5175.2,5985.2,13.53
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Sensibilidad,Eliminar escenario,v1.45.3,504.0,618.6,18.53
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Sensibilidad,Eliminar especie,v1.45.3,209.1,261.2,19.95
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Sensibilidad,Ingresar al menú Sensibilidad,v1.45.3,1028.4,1724.2,40.35
2026-09-14T13:45:40-03:00,AbbacoAR,Production,Sensibilidad,Realizar Análisis de sensibilidad,v1.45.3,9739.2,8830.2,-10.29
