Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual,P50 (ms) actual,Stdev (ms) actual,N muestras,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Analizar,v1.45.3,16597.7,3307.0,5481.72,7,14792.75,-12.2
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Arbitraje,v1.45.3,13602.0,10149.0,4963.68,7,18084.7,24.79
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Calculadora,v1.45.3,84132.3,2292.0,31243.93,7,92241.0,8.79
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Comparar,v1.45.3,14538.6,2121.0,5313.24,7,17597.2,17.38
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Curvas,v1.45.3,30798.9,1528.0,13196.09,7,32651.0,5.67
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Graficador,v1.45.3,4976.0,2239.0,1607.2,7,8185.1,39.21
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Mis portafolios,v1.45.3,9941.0,4757.0,3323.13,7,11127.55,10.66
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Screener,v1.45.3,5926.4,3930.0,999.22,7,5985.2,0.98
2026-09-07T15:52:36-03:00,AbbacoAR,Production,Sensibilidad,v1.45.3,8823.4,635.5,3315.73,7,8542.85,-3.28
