Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Analizar,v1.45.3,13522.45
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Arbitraje,v1.45.3,13687.8
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Calculadora,v1.45.3,85125.2
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Comparar,v1.45.3,13382.6
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Curvas,v1.45.3,30455.8
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Graficador,v1.45.3,4633.8
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Mis portafolios,v1.45.3,9072.0
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Screener,v1.45.3,4928.2
2026-09-17T13:47:09-03:00,AbbacoAR,Production,Sensibilidad,v1.45.3,8343.25
