Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Analizar,13452.35,11153.5,-20.61
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Arbitraje,13504.6,17185.0,21.42
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Calculadora,84407.8,71302.7,-18.38
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Comparar,13452.6,18144.6,25.86
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Curvas,30653.6,43854.5,30.1
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Graficador,4751.4,5423.0,12.38
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Mis portafolios,9350.1,7882.95,-18.61
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Screener,5050.0,9684.8,47.86
2026-09-15T13:44:37-03:00,AbbacoAR,Production,v1.45.3,v1.45.2,Sensibilidad,8333.25,7571.25,-10.06
