Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Analizar,v1.42.0,17368.25,21023.85,17.39
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Arbitraje,v1.42.0,13939.4,15238.5,8.53
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Calculadora,v1.42.0,92261.4,102884.6,10.33
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Comparar,v1.42.0,11968.3,15103.6,20.76
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Curvas,v1.42.0,28048.75,34915.45,19.67
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Graficador,v1.42.0,7293.0,13243.5,44.93
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Mis portafolios,v1.42.0,7597.45,7051.15,-7.75
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Screener,v1.42.0,8465.0,10890.35,22.27
2026-05-10T14:36:26-03:00,AbbacoAR,Production,Sensibilidad,v1.42.0,7648.45,7521.4,-1.69
