Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Analizar,17360.75,21016.15,17.39
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Arbitraje,13620.05,14822.2,8.11
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Calculadora,93443.2,101876.4,8.28
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Comparar,13325.7,12925.0,-3.1
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Curvas,28004.25,26701.95,-4.88
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Graficador,7430.65,7902.3,5.97
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Mis portafolios,7497.95,7214.5,-3.93
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Screener,8607.0,13821.05,37.73
2026-05-11T14:54:38-03:00,AbbacoAR,Production,v1.42.0,v1.41.0,Sensibilidad,7636.25,8284.5,7.82
