Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,v1.45.2,11153.5
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Arbitraje,v1.45.2,17185.0
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Calculadora,v1.45.2,71302.7
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Comparar,v1.45.2,18144.6
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Curvas,v1.45.2,43854.5
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Graficador,v1.45.2,5423.0
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Mis portafolios,v1.45.2,7882.95
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Screener,v1.45.2,9684.8
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Sensibilidad,v1.45.2,7571.25
