Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Analizar la especie  BDC28,v1.45.2,2322.3,3843.0,39.57
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Analizar la especie AL30 ,v1.45.2,3802.6,6456.5,41.1
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Analizar la especie MR43O,v1.45.2,1670.5,2221.7,24.81
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Analizar la especie TX28,v1.45.2,2577.2,9197.0,71.98
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie AL30,v1.45.2,11922.2,17355.0,31.3
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie BDC28,v1.45.2,20552.9,25374.0,19.0
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie MR43O,v1.45.2,10901.4,13315.1,18.13
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Armado de escenarios en Análisis de Sensibilidad de la especie TX28,v1.45.2,8370.8,9976.0,16.09
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Ingresar al Home,v1.45.2,8415.0,46788.5,82.01
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie  AL30,v1.45.2,686.8,2022.5,66.04
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie BDC28,v1.45.2,2193.3,9105.5,75.91
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie MR43O,v1.45.2,1707.9,1896.2,9.93
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Ingreso a la pestaña Condiciones de Emisión de la especie TX28,v1.45.2,1391.3,10221.5,86.39
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie AL30,v1.45.2,5276.5,21538.5,75.5
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie BDC28,v1.45.2,8790.0,8800.5,0.12
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie MR43O,v1.45.2,3625.6,10050.7,63.93
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Navegabilidad por los botones TIRs y Paridades Históricas de la especie TX28,v1.45.2,4914.5,10169.0,51.67
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie AL30,v1.45.2,2098.9,3302.0,36.44
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie BDC28,v1.45.2,4302.3,14512.0,70.35
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie MR43O,v1.45.2,3407.1,13760.4,75.24
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Simular inversión de la especie TX28,v1.45.2,1831.7,3166.0,42.14
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Analizar,Validaciones en la pestaña General de la especie MR43O,v1.45.2,938.4,2152.3,56.4
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Arbitraje,Arbitraje de las especies AL30 y TX28,v1.45.2,18134.5,15723.0,-15.34
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Arbitraje,Ingresar al menú Arbitraje,v1.45.2,2416.8,1011.0,-139.05
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Arbitraje,"Navegabilidad entre las pestañas Paridad, Inversión y Scatter",v1.45.2,12093.9,19338.5,37.46
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Calculadora,"Editar P. Simulado, de la primera simulación",v1.45.2,3631.9,2908.0,-24.89
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Calculadora,Editar la TIR de la primera simulación,v1.45.2,973.6,2282.0,57.34
2026-09-01T14:15:34-03:00,AbbacoAR,Production,Calculadora,Eliminar todas las simulaciones,v1.45.2,2305.7,3327.5,30.71
